seed,group_a_images,group_b_images,fid,kid_mean,kid_std_internal
42,607,607,24.384010314941406,0.00025279520195908844,0.0022680654656141996
123,607,607,24.410688400268555,-7.939338684082031e-05,0.001831826171837747
2026,607,607,24.459495544433594,0.00017712115368340164,0.001800578203983605
7,607,607,23.621118545532227,-0.0004902553628198802,0.0012967776274308562
99,607,607,24.029693603515625,-7.935047324281186e-05,0.0016066705575212836

