seed,real_images,synthetic_images,fid,kid_mean,kid_std_internal
42,1214,1214,55.34819030761719,0.06277933716773987,0.005830920301377773
123,1214,1214,54.33875274658203,0.06251665204763412,0.005551591515541077
2026,1214,1214,55.61082458496094,0.06335686892271042,0.006447655614465475
7,1214,1214,55.985530853271484,0.06319353729486465,0.005507379304617643
99,1214,1214,55.364097595214844,0.06421520560979843,0.006670825183391571

