condition,n_seeds,test_auc_mean,test_auc_std,balanced_accuracy_t05_mean,balanced_accuracy_t05_std,balanced_accuracy_opt_mean,balanced_accuracy_opt_std,accuracy_opt_mean,accuracy_opt_std,macro_f1_opt_mean,macro_f1_opt_std,optimal_threshold_mean,optimal_threshold_std,fp_opt_mean,fp_opt_std,fn_opt_mean,fn_opt_std
25% Real only,3,0.9750493096646942,0.005348276934679363,0.8452991452991453,0.02141447831857704,0.8819088319088318,0.013955025527664951,0.9086538461538461,0.010508715583817272,0.8976111392368672,0.012533361145370044,0.7933333333333333,0.07023769168568493,52.666666666666664,6.506407098647712,4.333333333333333,0.5773502691896258
25% Real + 44 Normal,3,0.9682975381693332,0.004718205369683128,0.822934472934473,0.02287555916369898,0.8660968660968661,0.024228671329211176,0.8952991452991452,0.017579575504171236,0.8819576624963176,0.021397080613274555,0.8266666666666668,0.04041451884327378,58.666666666666664,11.930353445448853,6.666666666666667,1.5275252316519465
25% Real + 176 Normal,3,0.969884578858938,0.002277129206625442,0.8346153846153846,0.01560268056711859,0.855982905982906,0.020861530337536596,0.889423076923077,0.014243901309800635,0.8739630526486196,0.018208522683321526,0.6933333333333334,0.20840665376454115,65.0,11.135528725660043,4.0,2.6457513110645907

