condition,seed,best_epoch,best_val_auc,optimal_threshold,optimal_val_balanced_accuracy,test_auc,accuracy_t05,balanced_accuracy_t05,f1_t05,macro_f1_t05,tn_t05,fp_t05,fn_t05,tp_t05,accuracy_opt,balanced_accuracy_opt,f1_opt,macro_f1_opt,tn_opt,fp_opt,fn_opt,tp_opt,real_train_size,repeated_real_normal_count,total_train_appearances
real_plus_176_repeated_real_normal,42,6,0.9975245168047224,0.56,0.977168428068171,0.9661680911680911,0.8798076923076923,0.8414529914529915,0.9118683901292597,0.8614757567774762,161,73,2,388,0.8830128205128205,0.8457264957264957,0.9140164899882215,0.865529548252256,163,71,2,388,4708,176,4884
real_plus_176_repeated_real_normal,123,1,0.9970865467009427,0.15000000000000002,0.9761877558792726,0.978972167433706,0.9391025641025641,0.923931623931624,0.9528535980148883,0.9334403736680776,202,32,6,384,0.8926282051282052,0.8585470085470086,0.9205219454329775,0.8775449233337727,169,65,2,388,4708,176,4884
real_plus_176_repeated_real_normal,2026,12,0.997486432447872,0.67,0.9760354184518709,0.972008547008547,0.9006410256410257,0.8683760683760684,0.9261904761904762,0.8871148459383753,173,61,1,389,0.905448717948718,0.8756410256410256,0.9293413173652695,0.8932420872540633,177,57,2,388,4708,176,4884

