condition,seed,test_auc_difference,balanced_accuracy_t05_difference,balanced_accuracy_opt_difference,accuracy_opt_difference,macro_f1_opt_difference
Real + 44 Normal,42,-0.006722550953319972,-0.017094017094017033,0.0132478632478632,0.008012820512820373,0.010151114329411515
Real + 44 Normal,123,-0.011971290817444746,-0.002991452991452981,-0.020940170940170977,-0.017628205128205177,-0.02073815621854136
Real + 44 Normal,2026,-0.0015614727153188124,-0.04700854700854695,-0.03974358974358971,-0.03044871794871795,-0.03637338833251902
Real + 176 Normal,42,-0.008141573526188828,-0.030341880341880456,-0.0012820512820512775,-0.0016025641025640969,-0.0016705856331293845
Real + 176 Normal,123,-0.00844291036598721,-0.002991452991452981,-0.030341880341880345,-0.02083333333333337,-0.026947450288170582
Real + 176 Normal,2026,0.0010902914749070236,0.0012820512820513885,-0.0461538461538461,-0.03525641025641024,-0.042326223843442534

