condition_label,n_seeds,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
Real only,3,0.9715519760391554,0.002340574993489208,0.8798076923076924,0.019230769230769246,0.8408831908831909,0.026069543666346277,0.8608909846574986,0.024652784612865068
Real + 77 Normal + 99 Pneumonia,3,0.9686591423770912,0.011420169563842059,0.8985042735042734,0.020915354647918636,0.8666666666666666,0.029666246823604473,0.8844259950904876,0.026533573743145602
Real + 300 per class,3,0.973867703995909,0.00394979732977704,0.8867521367521367,0.01931959542737722,0.8495726495726496,0.02568372513045598,0.8694759451863106,0.024279281800102404
Real + 176 Synthetic Normal,3,0.977217108627365,0.003702837738587937,0.8952991452991452,0.015810521994603328,0.8623931623931624,0.021673029629240968,0.8807325099666586,0.019517787947966842
Real + 176 Repeated Real Normal,3,0.9723829352034481,0.006410243142368369,0.906517094017094,0.0300810004814125,0.877920227920228,0.04205947503166932,0.8940103254613098,0.036474473943309514
Real + 600 Synthetic Normal,3,0.9733965227554972,0.004390558127228496,0.8910256410256411,0.01626424930303242,0.8558404558404558,0.02291145701481472,0.8750642280565554,0.020826721935853144
Real + 2280 Synthetic Normal,3,0.9723884140550808,0.005503127604913462,0.8701923076923078,0.0069854149736228496,0.8272079772079772,0.009520743482340091,0.8484041322568646,0.009237265430375763

